,Category,calories,total_fat,fiber,protein,carbohydrate,sugars
Salmon,Fish,156,5.6,0.0,26.48,0.0,0.0
Cod,Fish,105,0.9,0.0,22.83,0.0,0.0
Herring,Fish,203,12.0,0.0,23.03,0.0,0.0
Mackerel,Fish,262,18.0,0.0,23.85,0.0,0.0
Perch,Fish,96,1.9,0.0,18.51,0.0,0.0
Trout,Fish,150,5.8,0.0,22.92,0.0,0.0
Bass,Fish,124,3.0,0.0,22.73,0.0,0.0
Tuna,Fish,184,6.3,0.0,29.91,0.0,0.0
Roe,Fish,204,8.2,0.0,28.62,1.92,0.0
