,Category,calories,total_fat,fiber,protein,carbohydrate,sugars
Shrimp,Seafood,99,0.3,0.0,23.98,0.2,0.0
Oyster,Seafood,159,4.0,0.0,28.81,0.0,0.0
Mussel,Seafood,172,4.5,0.0,23.8,7.39,0.0
Clam,Seafood,148,2.0,0.0,25.55,5.13,0.0
Lobster,Seafood,89,0.9,0.0,19.0,0.0,0.0
Scallop,Seafood,111,0.8,0.0,20.54,5.41,0.0
Crayfish,Seafood,82,1.2,0.0,16.77,0.0,0.0
Octopus,Seafood,164,2.1,0.0,29.82,4.4,0.0
Cuttlefish,Seafood,158,1.4,0.0,32.48,1.64,0.0
Squid,Seafood,175,7.5,0.0,17.94,7.79,0.0
